접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2021-1766,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-10-18,2021-10-24,폐사,,기타,Female,0년0월0일,36.411389,127.074167,42,,,농경지,충청남도 공주시 이인면 오룡리 202,농경지,차량과의 충돌,차량과의 충돌,36 24 41.0,127 04 27.0,,,9320,9320,L2 골절
2021-0339,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-04-08,2021-04-29,방생,,,Male,0년0월0일,36.461306,127.065,14,,,비닐하우스 옆,충청남도 공주시 우성면 대성리 279-13,농경지,기생충 중감염,기생충 중감염/개선충 감염,36 27 40.7,127 03 54.0,36 40 13.3,126 51 44.7,3820,3600,개선충 중감염
2021-0993,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-06-10,2021-09-13,방생,충청남도 서산시 부석면 원적참새골길 61,,Male,0년0월0일,36.4475,127.134611,55,36.63892428,126.379893,아파트 단지 내부,충청남도 공주시 옥룡동 103,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 26 51.0,127 08 04.6,36 38 18.4,126 22 47.4,610,5000,단순 미아
2021-1873,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-11-10,2021-11-11,DOA,,기타,Unknown,0년0월0일,,,,,,,충청남도 공주시,건물옆,기생충 중감염,기생충 중감염,,,,,3000,3000,개선충 중감염
2021-1962,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-11-26,2022-03-03,방생,충청남도 서산시,,Female,0년0월0일,,,,,,,충청남도 공주시,건물옆,기생충 중감염,기생충 중감염/개선충 감염,,,,,4520,5920,개선충 중감염
2021-1963,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-11-26,2022-03-03,방생,충청남도 서산시,,Female,0년0월0일,,,,,,,충청남도 공주시,건물옆,기생충 중감염,기생충 중감염/개선충 ,,,,,3920,5200,개선충 중감염
2022-0879,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-05-20,2022-08-03,방생,충남 예산군 신양면 귀곡리 135-1,,Unknown,Nestling,36.23.553,127.05.057,65,,,도로옆 집수정,충남 공주시 이인면 주봉리 372-13,도로변,인공구조물 침입·고립,"인공구조물 침입, 고립",,,,,36.3,391.3,단순 미아 고립 개체
2022-0880,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-05-20,2022-06-10,폐사,,기타,Unknown,Nestling,36.23.553,127.05.057,65,,,도로옆 집수정,충남 공주시 이인면 주봉리 372-13,도로변,인공구조물 침입·고립,"인공구조물 침입, 고립",,,,,36.3,209.4,단순 미아 고립 개체
2022-0881,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-05-20,2022-08-03,방생,충남 예산군 신양면 귀곡리 135-1,,Unknown,Nestling,36.23.553,127.05.057,65,,,도로옆 집수정,충남 공주시 이인면 주봉리 372-13,도로변,인공구조물 침입·고립,"인공구조물 침입, 고립",,,,,36.3,454,단순 미아 고립 개체
2022-0385,오색딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2022-03-31,2022-04-02,폐사,,냉동(신냉동창고)(투입박스(일반)),Unknown,Adult,36.37.358,127.06.055,103,,,,충남 공주시 정안면 소랭이길 64-31,도로변,차량과의 충돌,차량과의 충돌,,,,,72,64,충돌로 인한 우측 안구 및 우측 기낭 파열 
