접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2020-1263,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2020-07-18,2020-09-03,방생,충청남도 보령시 웅천읍 관당리 799-1,,Unknown,Juvenile,36.233639,126.530444,7,36.24460094,126.5365795,해변가,충청남도 보령시 웅천읍 독산리 795-11,"강, 바다",낚시 쓰레기,낚시줄 삼킴,36 14 01.1,126 31 49.6,36 14 40.2,126 32 11.6,430,452,낚시바늘 사고 (선위 내 잔존)
2020-0563,쇠딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2020-05-18,2020-06-01,방생,충청남도 예산군 예산읍 대회리 1,,Unknown,Nestling,36.334028,126.663833,214,36.67008139,126.8596661,산 속,충청남도 보령시 성주면 성주리 산 39,숲,어미를 잃음(미아),단순 미아,36 20 02.5,126 39 49.8,36 40 14.4,126 51 42.3,18,20,미아
2020-1630,큰오색딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2020-09-16,2020-09-18,폐사,,기타,Unknown,Adult,36.383778,126.49625,7,,,보령발전소 내부,충청남도 보령시 주교면 송학리 620 ,건물옆,전선/건물과의 충돌,건물과의 충돌/ 유리창 충돌 추정,36 23 01.6,126 29 46.5,,,92,92,충돌에 의한 뇌진탕 및 양쪽 옆구리 피하기종
2020-0357,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2020-04-16,2020-04-16,방생,충청남도 보령시 죽정동 674-7,,Female,Unknown,36.359861,126.601611,20,36.35990872,126.6016217,건물 안,충청남도 보령시 죽정동 674-7,건물옆,인공구조물 침입·고립,인공구조물 침입 및 고,36 21 35.5,126 36 05.8,36 21 35.5,126 36 05.8,0,0,
2020-0758,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2020-06-04,2020-06-06,DOA,,기타,Unknown,Nestling,36.339,126.610722,32,,,명천초등학교 안,충청남도 보령시 명천동 325-1,건물옆,어미를 잃음(미아),단순 미아,36 20 20.4,126 36 38.6,,,4,4,저체온 미아
2020-1497,물총새,조강(Aves),파랑새목,물총새과,해당없음,해당없음,해당없음,2020-08-15,2020-09-08,폐사,,기타,Unknown,Nestling,36.437944,126.588944,22,,,주소지 부근 야적장,충청남도 보령시 청소면 야현리 366,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 26 16.6,126 35 20.2,,,36,23,미아
2020-1498,물총새,조강(Aves),파랑새목,물총새과,해당없음,해당없음,해당없음,2020-08-15,2020-09-08,폐사,,기타,Unknown,Nestling,36.437944,126.588944,22,,,주소지 부근 야적장,충청남도 보령시 청소면 야현리 366,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 26 16.6,126 35 20.2,,,31,22,미아
2020-1499,물총새,조강(Aves),파랑새목,물총새과,해당없음,해당없음,해당없음,2020-08-15,2020-09-11,폐사,,기타,Unknown,Nestling,36.437944,126.588944,22,,,주소지 부근 야적장,충청남도 보령시 청소면 야현리 366,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 26 16.6,126 35 20.2,,,29,17,미아
2020-1500,물총새,조강(Aves),파랑새목,물총새과,해당없음,해당없음,해당없음,2020-08-15,2020-09-07,폐사,,기타,Unknown,Nestling,36.437944,126.588944,22,,,주소지 부근 야적장,충청남도 보령시 청소면 야현리 366,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 26 16.6,126 35 20.2,,,33,22,미아
2020-1501,물총새,조강(Aves),파랑새목,물총새과,해당없음,해당없음,해당없음,2020-08-15,2020-09-04,폐사,,기타,Unknown,Nestling,36.437944,126.588944,22,,,주소지 부근 야적장,충청남도 보령시 청소면 야현리 366,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 26 16.6,126 35 20.2,,,31,16,미아
2020-1403,검은댕기해오라기,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2020-08-03,2020-08-03,안락사,,기타,Unknown,Unknown,36.338722,126.57625,17,,,주소지 부근,충청남도 보령시 내항동 574 ,건물옆,전선/건물과의 충돌,충돌 추정,36 20 19.4,126 34 34.5,,,170,170,"충돌에 의한 좌측 상완골, 대퇴골 골절"
2020-1600,왜가리,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2020-09-09,2020-09-24,방생,충청남도 서산시 해미면 전천리 371-19,,Unknown,Unknown,36.437639,126.520111,7,36.71609726,126.5296801,오천여객터미널,충청남도 보령시 오천면 소성리 700-100,건물옆,알 수 없는 사고,알 수 없는 사고,36 26 15.5,126 31 12.4,36 42 58.1,126 31 44.3,964,1006,뇌진탕 및 탈진
2020-1522,중대백로㉵,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2020-08-21,2020-08-21,폐사체,,기타,Unknown,Adult,36.329028,126.602,26,,,수정카서비스,충청남도 보령시 남포면 창동리 669-2,도로변,차량과의 충돌,차량충돌 추정,36 19 44.5,126 36 07.2,,,766,766,차량충돌에 의한 내상 추정
